,date,guns,virus,boredom,ammo,gun stores,ar15,disinfectant,bleach,toilet paper,netflix,porn,diy
0,2019-01-06,46,2,26,28,9,23,3,42,3,58,74,55
1,2019-01-13,46,2,25,29,8,23,3,41,3,57,72,54
2,2019-01-20,46,2,26,29,10,24,3,41,3,55,73,54
3,2019-01-27,45,2,29,32,11,24,3,42,3,53,73,54
4,2019-02-03,45,2,25,29,10,24,3,42,3,47,72,55
5,2019-02-10,48,2,25,30,10,23,4,41,39,47,72,56
6,2019-02-17,48,2,25,31,11,26,3,44,75,46,70,54
7,2019-02-24,47,2,26,29,13,22,3,41,7,42,70,53
8,2019-03-03,47,2,27,28,12,23,4,42,4,43,70,55
9,2019-03-10,48,2,24,28,9,24,3,40,3,43,71,51
10,2019-03-17,48,2,27,28,9,26,3,42,3,44,73,53
11,2019-03-24,45,2,25,26,10,22,3,44,3,42,71,55
12,2019-03-31,44,2,24,27,9,21,3,42,3,42,71,54
13,2019-04-07,44,2,25,25,8,20,3,43,3,42,70,54
14,2019-04-14,43,2,26,26,9,21,3,46,3,45,75,55
15,2019-04-21,42,2,28,24,8,19,3,43,3,43,74,54
16,2019-04-28,42,2,25,23,8,18,3,43,3,44,74,56
